Timestamp,Medicine Name,Compounds (salts),Disease,Safety Advice,Side Effects,Type,Other Details
29/01/2020 18:09:35,Dynacin,clindamycin,"Lower respiratory tract infections
Skin and skin structure infections
Gynecological infections
Intra-abdominal infections
Septicemia
Bone and joint infections",,"Abdominal pain
Nausea
Vomiting
Rash
Pruritus
Vaginitis
Jaundice
Neutropenia",Solution,
29/01/2020 18:17:34,Primsol,trimethoprim hydrochloride,"Urinary tract infections
Pneumonia 
Respiratory tract infections",,"Epigastric discomfort
Nausea
Vomiting
Glossitis
Abnormal taste sensation",Solution,
29/01/2020 18:22:20,Doxy 100,doxycycline hyclate,"Acne
bacterial infections
periodontitis",,"Throat irritation.
Trouble swallowing.
Muscle or joint pain.
Fast breathing.
Flushing.
dizziness 
Change in skin color.
Swollen gland.
Vaginal itching or discharge.
Diarrhea ",Injection,
29/01/2020 18:25:18,Vibramycin,doxycycline hydrochloride hemiethanolate hemihydrate,"Acne
Bacterial infections
malaria",,"Throat irritation.
Trouble swallowing.
Muscle or joint pain.
Fast breathing.
Flushing.
Very bad dizziness 
Change in skin color.
Swollen gland.
Vaginal itching or discharge.",Suspension,
29/01/2020 18:39:11,suprax,cefixime - 100 mg,Bacterial infections,,"Nausea
Stomach pain
Indigestion
Diarrhea",Capsules,
29/01/2020 18:52:43,keflex,cefalexin - 250 mg,bacterial infections,,"rash
allergic reaction
stomach pain
nausea
indigestion
diarrhea",Capsules,
29/01/2020 18:54:28,duricef,cefadroxil - 250 mg,bacterial infections,,"rash
vomiting
allergic reaction
stomach pain
nausea
diarrhea",Capsules,
29/01/2020 19:10:39,Solodyn, minocycline hydrochloride ,"acne vulgaris
red bumps
bacterial infections","liver disease
kidney disease
asthma 
 sulfite allergy.","numbness
tingling
burning pain
hair loss
discoloration of you skin or nails
dizziness
spinning sensation
muscle or joint pain
nausea 
diarrhea
loss of appetite
swollen tongue
cough
trouble swallowing
rash
itching
headache",Tablet,
29/01/2020 19:13:18,ACTICLATE ,doxycycline hyclate - 86.6 mg,"Acne
bacterial infections
malaria
periodontitis",,"Throat irritation
Trouble swallowing
Muscle or joint pain
Fast breathing
Flushing.
dizziness 
passing out.
Change in skin color.
Swollen gland.
Vaginal itching or discharge.
diarrhea ",Tablet,
29/01/2020 19:15:12,DORYX MPC,doxycycline hyclate - 69.4 mg,"Acne
Malaria
periodontitis",,"Throat irritation.
Trouble swallowing.
Muscle or joint pain.
Fast breathing.
Flushing.
Very bad dizziness or passing out.
Change in skin color.
Swollen gland.
Vaginal itching or discharge.
Diarrhea
Fever
Sore throat ",Tablet,
29/01/2020 21:20:22,cephalrite,cefalexin - 250 mg,bacterial infection,,"Rash
Allergic reaction
Stomach pain
Nausea
Indigestion
Diarrhea",Capsules,
29/01/2020 21:28:24,monocef,ceftriaxone - 1 gm,bacterial infection,driving,"abnormal liver function tests
diarrhea
rash",Injection,
29/01/2020 21:32:12,Cotrim,"sulfamethoxazole
trimethoprim","ear infections
urinary tract infections
bronchitis
traveler's diarrhea
Pneumocystis carinii pneumonia",Pregnancy,"Fever
Sore throat 
Cough
Diarrhea
Restlessness 
Weak pulse
body ache
insomnia
joint pain",Tablet,
29/01/2020 21:37:32,minicycline,doxycycline - 100 mg,"sexually transmitted disease
acne","alcohol
driving","vomiting
nausea
diarrhea",Capsules,
29/01/2020 21:37:41,Truxazole,sulfisoxazole,"bacterial infections
",Pediatric ,"Hypersensitivity
dermatitis
rash
pruritus
photosensitivity
periarteritis nodosa
systemic lupus erythematosus
anaphylaxis
erythema multiforme (Stevens-Johnson syndrome)
toxic epidermal necrolysis
angioedema
arteritis 
vasculitis
serum sickness
hepatitis
hepatocellular necrosis
jaundice
tachycardia
palpitations
syncope
cyanosis
angioedema
arteritis
vasculitis
headache
dizziness
peripheral neuritis
insomnia",Tablet,
29/01/2020 21:40:33,novamox,amoxycillin - 500 mg,"typhoid
pneumonia
nasal sinuses",driving,"Rash
Vomiting
Allergic reaction
Nausea
Diarrhea",Capsules,
29/01/2020 21:40:38,ZONEGRAN,zonisamide,"Seizures
Epilepsy",Patients With Renal Or Hepatic Disease,"somnolence
anorexia
dizziness
ataxia
agitation/irritability
concentration problems",Capsules,
29/01/2020 21:47:26,Declomycin,demeclocycline hydrochloride,"bacterial infections
urinary tract infections
acne
gonorrhea
chlamydia","kidney disease
liver disease
diabetes
pregnancy","fever
chills
body aches
flu 
jaundice
severe tingling
numbness
pain
muscle weakness
chest pain
headache
sore throat
dizziness
nausea
skin rashes
diarrhea
vomiting",Tablet,
29/01/2020 21:49:52,Monodox,doxycycline monohydrate,"acne
malaria
bacterial infections
periodontitis",,"loss of appetite
vomiting
diarrhea
fever
sore throat
back pain
upset stomach
allergic reactions
rashe",Capsules,
29/01/2020 21:53:10,Terramycin,oxytetracycline hydrochloride,bacterial infections,,"anorexia
nausea
vomiting
diarrhea
glossitis
dysphagia
enterocolitis
inflammatory lesions
",Capsules,
29/01/2020 21:55:51,Actisite,tetracycline hydrochloride,"periodontal disease
",,"redness
sore throat 
discomfort 
staining of the tongue",Tablet,
29/01/2020 22:00:00,Alodox,doxycyline hyclate - 23 mg,"pneumonia
acne
chlamydia infections
early Lyme disease
cholera
typhus
syphilis
bacterial infections
",Pregnancy,"nausea
constipation
bloating
dizziness
headache
sore throat 
vomiting
indigestion
tingling
numbness
fever",Tablet,
29/01/2020 22:03:11,Morgidox,doxycycline hyclate,"periodontitis
bacterial infections
acne",,"diarrhea
fever
upset stomach
loss of appetite
dizziness 
sore throat
fast heartbeat
headache",Tablet,
29/01/2020 22:09:52,Co-trimoxazole,"sulfamethoxazole
Trimethoprim","acute otitis media
travelers’ diarrhea
dysentery 
enteritis 
diarrhea
upper respiratory tract infections
 bronchitis
Brucellosis
Burkholderia Infections
Cholera
Cyclospora Infections
Donovanosis
Listeria Infections
Mycobacterial Infections
Nocardia Infections","Pregnancy 
Renal Impairment","gas
diarrhea
dizziness
headache
hair loss
hearing loss
nosebleeds
constipation
numbness
bloating
indigestion
irregular heartbeat",Tablet,
